Tiempo, Potencia , Id,sum1,sum0
1,5.634,0,1,5.634
2,5.593,0,1,5.593
3,5.494,0,1,5.494
4,5.27,0,1,5.27
5,5.708,1,0,0
6,5.528,0,1,5.528
7,5.503,0,1,5.503
8,5.566,0,1,5.566
9,5.918,1,0,0
10,5.809,1,0,0
11,5.703,1,0,0
12,5.681,1,0,0
13,5.657,0,1,5.657
14,5.503,0,1,5.503
15,5.646,0,1,5.646
16,5.796,1,0,0
17,5.52,0,1,5.52
18,5.465,0,1,5.465
19,5.826,1,0,0
20,5.801,1,0,0
21,5.627,0,1,5.627
22,5.791,1,0,0
23,5.709,1,0,0
24,5.467,0,1,5.467
25,5.551,0,1,5.551
26,5.846,1,0,0
27,5.797,1,0,0
28,5.785,1,0,0
29,5.553,0,1,5.553
30,6.849,1,0,0
31,5.614,0,1,5.614
32,5.547,0,1,5.547
33,4.916,0,1,4.916
34,4.915,0,1,4.915
35,4.767,0,1,4.767
36,4.968,0,1,4.968
37,4.799,0,1,4.799
38,5.094,0,1,5.094
39,5.003,0,1,5.003
40,5.083,0,1,5.083
41,4.72,0,1,4.72
42,5.149,0,1,5.149
43,5.062,0,1,5.062
44,5.197,0,1,5.197
45,4.992,0,1,4.992
46,5.217,0,1,5.217
47,5.303,0,1,5.303
48,5.142,0,1,5.142
49,5.167,0,1,5.167
50,4.624,0,1,4.624
51,4.992,0,1,4.992
52,5.186,0,1,5.186
53,5.343,0,1,5.343
54,5.147,0,1,5.147
55,5.294,0,1,5.294
56,5.296,0,1,5.296
57,5.653,0,1,5.653
58,5.918,1,0,0
59,5.837,1,0,0
60,5.841,1,0,0
61,6.047,1,0,0
62,6.135,1,0,0
63,5.795,1,0,0
64,5.861,1,0,0
65,5.561,0,1,5.561
66,5.716,1,0,0
67,5.669,0,1,5.669
68,5.751,1,0,0
69,6.089,1,0,0
70,6.031,1,0,0
71,5.876,1,0,0
72,5.568,0,1,5.568
73,5.611,0,1,5.611
74,5.899,1,0,0
75,5.602,0,1,5.602
76,5.855,1,0,0
77,6.081,1,0,0
78,6.261,1,0,0
79,6.35,1,0,0
80,6.212,1,0,0
81,6.806,1,0,0
82,7.057,1,0,0
83,6.764,1,0,0
84,6.433,1,0,0
85,6.593,1,0,0
86,6.346,1,0,0
87,6.524,1,0,0
88,6.334,1,0,0
89,6.345,1,0,0
90,5.968,1,0,0
91,6.351,1,0,0
92,6.251,1,0,0
93,6.394,1,0,0
94,6.456,1,0,0
95,6.441,1,0,0
96,6.069,1,0,0
